#O+O @ 5.36 TeV, |\eta<1|,
#Cen: 0-100%
#pt	RAA_min	RAA_median	RAA_max
5	0.7293 	0.7781 	0.8159 
10	0.7765 	0.8240 	0.8638 
15	0.8465 	0.8862 	0.9181 
20	0.8875 	0.9317 	0.9528 
25	0.9305 	0.9613 	0.9807 
30	0.9372 	0.9654 	0.9986 
35	0.9629 	0.9793 	1.0139 
40	0.9781 	0.9923 	1.0199 
45	0.9734 	1.0028 	1.0134 
50	0.9814 	0.9982 	1.0303 
55	0.9958 	1.0095 	1.0297 
60	1.0001 	1.0141 	1.0240 
65	1.0001 	1.0095 	1.0264 
70	1.0051 	1.0192 	1.0257 
75	1.0056 	1.0199 	1.0337 
80	1.0058 	1.0147 	1.0262 
85	1.0115 	1.0195 	1.0312 
90	1.0109 	1.0204 	1.0261 
95	1.0090 	1.0235 	1.0301 
100	1.0178 	1.0231 	1.0350 

#O+O @ 5.36 TeV, |\eta<1|,
#Cen: 0-10%
#pt RAA_min RAA_median  RAA_max
5	0.4518 	0.5260 	0.6028 
10	0.5171 	0.5928 	0.6659 
15	0.6224 	0.6929 	0.7589 
20	0.6950 	0.7571 	0.8087 
25	0.7423 	0.8024 	0.8585 
30	0.7911 	0.8366 	0.8794 
35	0.8222 	0.8606 	0.9104 
40	0.8429 	0.8972 	0.9343 
45	0.8540 	0.9066 	0.9437 
50	0.8728 	0.9100 	0.9570 
55	0.8925 	0.9362 	0.9636 
60	0.9015 	0.9378 	0.9679 
65	0.9117 	0.9461 	0.9724 
70	0.9208 	0.9528 	0.9802 
75	0.9271 	0.9592 	0.9871 
80	0.9313 	0.9625 	0.9868 
85	0.9409 	0.9670 	0.9944 
90	0.9411 	0.9716 	0.9930 
95	0.9468 	0.9753 	0.9912 
100	0.9558 	0.9815 	0.9994 

#O+O @ 5.36 TeV, |\eta<1|,
#Cen: 0-30%
#pt RAA_min RAA_median  RAA_max
5	0.5250 	0.5940 	0.6629 
10	0.5820 	0.6551 	0.7172 
15	0.6826 	0.7482 	0.8035 
20	0.7545 	0.8036 	0.8600 
25	0.7981 	0.8616 	0.9012 
30	0.8373 	0.8858 	0.9151 
35	0.8575 	0.9069 	0.9431 
40	0.8792 	0.9271 	0.9568 
45	0.8982 	0.9465 	0.9784 
50	0.8983 	0.9334 	0.9686 
55	0.9277 	0.9568 	0.9869 
60	0.9366 	0.9664 	0.9906 
65	0.9422 	0.9678 	0.9950 
70	0.9473 	0.9772 	0.9964 
75	0.9572 	0.9795 	1.0009 
80	0.9593 	0.9797 	1.0020 
85	0.9601 	0.9848 	1.0083 
90	0.9687 	0.9901 	1.0069 
95	0.9689 	0.9906 	1.0058 
100	0.9738 	0.9955 	1.0157 
