#O+O @ 5.36 TeV, |\eta<1|,with only CNM effect
#Cen: 0-100%
#pt	RAA_min	RAA_central	RAA_max
5   0.7492  0.9088  1.1109
10  0.9103  0.9816  1.0542
15  0.9630  1.0050  1.0473
20  0.9926  1.0148  1.0721
25  0.9805  1.0377  1.0715
30  0.9954  1.0358  1.0926
35  0.9735  1.0436  1.0922
40  0.9629  1.0546  1.0819
45  0.9731  1.0504  1.1103
50  0.9756  1.0379  1.1264
55  0.9804  1.0543  1.1003
60  0.9841  1.0483  1.1065
65  0.9940  1.0435  1.1198
70  0.9811  1.0451  1.1122
75  0.9836  1.0486  1.1036
80  0.9836  1.0430  1.1075
85  0.9738  1.0475  1.1062
90  0.9813  1.0427  1.1061
95  0.9760  1.0407  1.1126
100     0.9796  1.0476  1.1038

#O+O @ 5.36 TeV, |\eta<1|,
#Cen: 0-10%
#pt RAA_min RAA_central  RAA_max
5   0.6710  0.8935  1.1080
10  0.8821  0.9804  1.0632
15  0.9714  1.0046  1.0654
20  0.9970  1.0247  1.0742
25  0.9938  1.0474  1.0922
30  1.0099  1.0393  1.1330
35  1.0078  1.0472  1.1453
40  0.9950  1.0571  1.1290
45  0.9617  1.0674  1.1178
50  0.9839  1.0462  1.1479
55  0.9803  1.0639  1.1297
60  0.9794  1.0598  1.1319
65  0.9841  1.0554  1.1492
70  0.9712  1.0592  1.1295
75  0.9712  1.0601  1.1349
80  0.9509  1.0589  1.1164
85  0.9721  1.0572  1.1238
90  0.9642  1.0551  1.1307
95  0.9751  1.0509  1.1363
100     0.9697  1.0565  1.1310

#O+O @ 5.36 TeV, |\eta<1|,
#Cen: 0-30%
#pt RAA_min RAA_central  RAA_max
5   0.6893  0.8935  1.1087
10  0.9017  0.9804  1.0849
15  0.9699  1.0046  1.0638
20  1.0042  1.0247  1.0831
25  1.0030  1.0474  1.0953
30  0.9961  1.0393  1.1093
35  1.0039  1.0472  1.1217
40  1.0105  1.0571  1.1478
45  0.9900  1.0674  1.1429
50  0.9291  1.0462  1.1083
55  0.9979  1.0639  1.1387
60  0.9802  1.0598  1.1264
65  0.9691  1.0554  1.1275
70  0.9692  1.0592  1.1253
75  0.9865  1.0601  1.1429
80  0.9446  1.0589  1.1103
85  0.9766  1.0572  1.1257
90  0.9814  1.0551  1.1401
95  0.9771  1.0509  1.1337
100     0.9741  1.0565  1.1323
