     R_AA for 5.36 TeV O+O collisions in scenario with mini-QGP formation in pp collisions
    p_T (GeV)      R_AA(0-10%)     R_AA(10-20%)      R_AA(0-30%)      R_AA(0-100%)     R_AA w/o energy loss (due to nuclear PDFs)
   10.0000000      0.630169153      0.715501070      0.691026032      0.755870640      0.998347998    
   11.0000000      0.646184683      0.729528427      0.705511510      0.768004775       1.00235999    
   12.0000000      0.660649538      0.742050290      0.718514740      0.778846323       1.00588000    
   13.0000000      0.673937678      0.753475904      0.730411947      0.788747787       1.00896001    
   14.0000000      0.686244428      0.763999403      0.741392791      0.797876358       1.01171005    
   15.4350004      0.702345371      0.777672887      0.755698562      0.809746504       1.01510000    
   17.0170994      0.718286335      0.791104317      0.769793272      0.821415424       1.01822996    
   18.7612991      0.733977079      0.804213107      0.783595979      0.832812488       1.02108002    
   20.6844006      0.749352932      0.816952646      0.797053576      0.843893647       1.02361000    
   22.8045006      0.764442742      0.829363465      0.810199559      0.854692161       1.02585995    
   25.1420002      0.779328108      0.841522694      0.823110521      0.865275323       1.02781999    
   27.7191010      0.793868899      0.853309035      0.835661888      0.875537395       1.02952003    
   30.5603008      0.807923973      0.864593506      0.847727060      0.885364175       1.03096998    
   33.6926994      0.821403861      0.875306487      0.859230578      0.894692779       1.03217995    
   37.1461983      0.834246993      0.885405362      0.870123029      0.903479338       1.03313005    
   40.9537010      0.846511126      0.894986212      0.880476117      0.911794066       1.03382003    
   45.1515007      0.858185887      0.904015660      0.890270591      0.919618964       1.03422999    
   49.7794991      0.869202495      0.912443876      0.899450779      0.926908135       1.03436995    
   54.8819008      0.879484653      0.920204401      0.907949626      0.933604717       1.03421998    
   60.5074005      0.889067054      0.927338958      0.915803850      0.939739883       1.03376997    
   66.7093964      0.897951722      0.933842242      0.923009753      0.945301294       1.03301001    
   73.5470963      0.906121075      0.939699054      0.929551125      0.950270712       1.03190005    
   81.0857010      0.913530231      0.944873214      0.935388505      0.954610109       1.03042996    
   89.3970032      0.920147777      0.949336886      0.940493166      0.958291113       1.02857006    
   98.5602036      0.925929070      0.953056931      0.944828153      0.961281240       1.02629006    
   108.663002      0.930814505      0.955992401      0.948346376      0.963542223       1.02358997    
   119.801003      0.934753299      0.958099723      0.951003253      0.965033233       1.02046001    
   132.080002      0.937766790      0.959400356      0.952818871      0.965768039       1.01691997    
   145.617996      0.939914048      0.959939122      0.953842759      0.965783417       1.01296997    
   160.544006      0.941200078      0.959731042      0.954084992      0.965081632       1.00862002    
