     R_AA for 5.36 TeV O+O collisions in scenario without mini-QGP formation in pp collisions
    p_T (GeV)      R_AA(0-10%)     R_AA(10-20%)      R_AA(0-30%)      R_AA(0-100%)     R_AA w/o energy loss (due to nuclear PDFs)

   10.0000000      0.539506912      0.600626409      0.582970738      0.627859473      0.998347998    
   11.0000000      0.557573557      0.617888272      0.600396872      0.644207239       1.00235999    
   12.0000000      0.574365616      0.633842230      0.616547823      0.659336329       1.00588000    
   13.0000000      0.589930296      0.648549676      0.631465018      0.673270345       1.00896001    
   14.0000000      0.604428172      0.662179708      0.645312190      0.686168849       1.01171005    
   15.4350004      0.623518467      0.680020452      0.663473725      0.703034461       1.01510000    
   17.0170994      0.642539382      0.697671831      0.681484938      0.719700396       1.01822996    
   18.7612991      0.661364436      0.715017438      0.699227571      0.736057341       1.02108002    
   20.6844006      0.679890871      0.731963396      0.716604829      0.752015352       1.02361000    
   22.8045006      0.698082566      0.748480916      0.733582735      0.767541528       1.02585995    
   25.1420002      0.715997458      0.764626622      0.750217438      0.782687426       1.02781999    
   27.7191010      0.733566046      0.780353546      0.766457498      0.797422767       1.02952003    
   30.5603008      0.750706553      0.795599580      0.782239199      0.811700344       1.03096998    
   33.6926994      0.767348409      0.810311556      0.797505140      0.825475216       1.03217995    
   37.1461983      0.783422410      0.824436188      0.812196255      0.838696241       1.03313005    
   40.9537010      0.798772573      0.837840915      0.826162755      0.851207316       1.03382003    
   45.1515007      0.813455403      0.850570798      0.839459419      0.863073468       1.03422999    
   49.7794991      0.827380300      0.862553835      0.852008939      0.874228835       1.03436995    
   54.8819008      0.840489805      0.873742461      0.863762796      0.884635925       1.03421998    
   60.5074005      0.852736831      0.884101987      0.874679506      0.894250631       1.03376997    
   66.7093964      0.864113271      0.893625736      0.884751618      0.903063834       1.03301001    
   73.5470963      0.874584317      0.902284741      0.893948078      0.911045194       1.03190005    
   81.0857010      0.884097457      0.910037994      0.902224064      0.918154716       1.03042996    
   89.3970032      0.892604589      0.916839838      0.909533024      0.924346566       1.02857006    
   98.5602036      0.900072515      0.922666550      0.915848494      0.929598093       1.02629006    
   108.663002      0.906425476      0.927456021      0.921103537      0.933848977       1.02358997    
   119.801003      0.911704540      0.931257427      0.925345778      0.937152386       1.02046001    
   132.080002      0.916027069      0.934188843      0.928693235      0.939622700       1.01691997    
   145.617996      0.919515014      0.936363101      0.931260943      0.941366196       1.01296997    
   160.544006      0.922402799      0.938020587      0.933287144      0.942614496       1.00862002    
